"ID","Perspective","QuestionID","PracticeID","Question","Practice","Item","Unnecessary","Desirable","Essential"
"why_q1_p2","why","q1","p2","2.1) Why it was created?","its objective/goal (e.g., verify claims, replicability, reusability, a whole new library/framework)","2.1) Why it was created? [its objective/goal (e.g., verify claims, replicability, reusability, a whole new library/framework)]",4.44444444444444,44.4444444444444,51.1111111111111
"who_q2_p2","who","q2","p2","4.2) Who are the authors?","the names of its authors","4.2) Who are the authors? [the names of its authors]",2.22222222222222,24.4444444444444,73.3333333333333
"who_q2_p4","who","q2","p4","4.2) Who are the authors?","the contact details of its authors (e.g., email address, ResearchGate, Linkedin, website)","4.2) Who are the authors? [the contact details of its authors (e.g., email address, ResearchGate, Linkedin, website)]",6.66666666666667,36.6666666666667,56.6666666666667
"who_q1_p1","who","q1","p1","4.1) Who could use it?","be deposited under an explicit open license (e.g., reported in a LICENSE file)","4.1) Who could use it? [be deposited under an explicit open license (e.g., reported in a LICENSE file)]",4.49438202247191,41.5730337078652,53.9325842696629
"where_q3_p1","where","q3","p1","3.3) Where to find related work?","credit to data obtained from other sources (e.g., cited authors, paper, repository)","3.3) Where to find related work? [credit to data obtained from other sources (e.g., cited authors, paper, repository)]",0,41.1111111111111,58.8888888888889
"where_q1_p1","where","q1","p1","3.1) Where is it hosted?","is open and public (e.g., GitHub, BitBucket, Zenodo, Figshare)","3.1) Where is it hosted? [is open and public (e.g., GitHub, BitBucket, Zenodo, Figshare)]",4.44444444444444,17.7777777777778,77.7777777777778
"when_q1_p1","when","q1","p1","5.1) When did changes happen?","tracked using version control (e.g., GitHub, GitLab, BitBucket)","5.1) When did changes happen? [tracked using version control (e.g., GitHub, GitLab, BitBucket)]",2.22222222222222,36.6666666666667,61.1111111111111
"what_q3_p2","what","q3","p2","1.3) What concepts and technologies underpin the artifact?","the modeling languages used to develop it (e.g., UML, xtUML, SysML, BPMN)","1.3) What concepts and technologies underpin the artifact? [the modeling languages used to develop it (e.g., UML, xtUML, SysML, BPMN)]",4.49438202247191,40.4494382022472,55.0561797752809
"what_q3_p6","what","q3","p6","1.3) What concepts and technologies underpin the artifact?","the libraries, dependencies, and frameworks used to develop it and their respective versions (e.g., Eclipse release)","1.3) What concepts and technologies underpin the artifact? [the libraries, dependencies, and frameworks used to develop it and their respective versions (e.g., Eclipse release)]",4.44444444444444,33.3333333333333,62.2222222222222
"what_q2_p2","what","q2","p2","1.2) What does it have?","everything required for replications (i.e., complete)","1.2) What does it have? [everything required for replications (i.e., complete)]",0,21.1111111111111,78.8888888888889
"what_q1_p2","what","q1","p2","1.1) What is it all about?","the context of its development (e.g., domain, problem, project)","1.1) What is it all about? [the context of its development (e.g., domain, problem, project)]",2.22222222222222,33.3333333333333,64.4444444444444
"what_q1_p1","what","q1","p1","1.1) What is it all about?","its name","1.1) What is it all about? [its name]",3.37078651685393,24.7191011235955,71.9101123595506
"what_q1_p3","what","q1","p3","1.1) What is it all about?","its main functionalities supported (e.g., modelling language, code generation, model analysis)","1.1) What is it all about? [its main functionalities supported (e.g., modelling language, code generation, model analysis)]",0,18.8888888888889,81.1111111111111
"howmuch_q1_p1","howmuch","q1","p1","7.1) How many resources does it need?","The artifact shall indicate the system and environment where it was successfully evaluated (e.g., OS, CPU, RAM, GPU, Disk)","7.1) How many resources does it need? [The artifact shall indicate the system and environment where it was successfully evaluated (e.g., OS, CPU, RAM, GPU, Disk)]",4.44444444444444,42.2222222222222,53.3333333333333
"how_q5_p3","how","q5","p3","6.5) How to run the analysis of results?","The artifact shall provide a clear description of the measurement procedures and metrics used in the paper","6.5) How to run the analysis of results? [The artifact shall provide a clear description of the measurement procedures and metrics used in the paper]",6.74157303370786,41.5730337078652,51.685393258427
"how_q4_p3","how","q4","p3","6.4) How to replicate the experiment?","The artifact shall provide instructions for manual/automated replication of the complete (or at least a subset) experiment as in the paper (e.g., bash, python, R script)","6.4) How to replicate the experiment? [The artifact shall provide instructions for manual/automated replication of the complete (or at least a subset) experiment as in the paper (e.g., bash, python, R script)]",1.12359550561798,41.5730337078652,57.3033707865169
"how_q4_p1","how","q4","p1","6.4) How to replicate the experiment?","The artifact shall include the complete set of test models considered","6.4) How to replicate the experiment? [The artifact shall include the complete set of test models considered]",2.24719101123596,39.3258426966292,58.4269662921348
"how_q3_p3","how","q3","p3","6.3) How to get started?","The artifact shall include step-by-step instructions for running it (e.g., README, PDF)","6.3) How to get started? [The artifact shall include step-by-step instructions for running it (e.g., README, PDF)]",0,13.3333333333333,86.6666666666667
"how_q3_p1","how","q3","p1","6.3) How to get started?","The artifact shall include instructions for running it on minimal test data (e.g., quick run, smoke testing)","6.3) How to get started? [The artifact shall include instructions for running it on minimal test data (e.g., quick run, smoke testing)]",3.37078651685393,33.7078651685393,62.9213483146067
"how_q2_p8","how","q2","p8","6.2) How to set up a running environment?","The artifact shall provide instructions to install it","6.2) How to set up a running environment? [The artifact shall provide instructions to install it]",1.11111111111111,12.2222222222222,86.6666666666667
"how_q2_p1","how","q2","p1","6.2) How to set up a running environment?","The artifact shall provide instructions for downloading","6.2) How to set up a running environment? [The artifact shall provide instructions for downloading]",4.49438202247191,17.9775280898876,77.5280898876404
"how_q2_p5","how","q2","p5","6.2) How to set up a running environment?","The artifact shall provide a step-by-step tutorial of how to build the source code","6.2) How to set up a running environment? [The artifact shall provide a step-by-step tutorial of how to build the source code]",2.24719101123596,37.0786516853933,60.6741573033708
"how_q1_p2","how","q1","p2","6.1) How is it organized?","Files and folders shall have self-explaining names matching content, meaning, and human abstractions (e.g., doc/, src/, results/, src/, bin/)","6.1) How is it organized? [Files and folders shall have self-explaining names matching content, meaning, and human abstractions (e.g., doc/, src/, results/, src/, bin/)]",1.12359550561798,47.1910112359551,51.685393258427
